Date,Open,High,Low,Close,Adj Close,Volume
27-06-2020,693344.1875,696368.3125,680517.125,684084.8125,684084.8125,1.30633E+12
28-06-2020,684317,695592.0625,678801.0625,691438.1875,691438.1875,1.10109E+12
29-06-2020,691169.5,697373.9375,682942.5,694011.0625,694011.0625,1.24295E+12
30-06-2020,693612.875,695808.25,686641.0625,690443.9375,690443.9375,1.18896E+12
01-07-2020,691047.75,703142.5625,687681.0625,696325.6875,696325.6875,1.20514E+12
02-07-2020,696538.0625,692955.75,675871.6875,683252.1875,683252.1875,1.22362E+12
03-07-2020,683359.4375,687875.6875,676505.8125,678634.875,678634.875,9.7673E+11
04-07-2020,678405.5625,685803.4375,676120.0625,682009.1875,682009.1875,9.1785E+11
05-07-2020,681531.4375,684226.8125,670295,677638,677638,9.63621E+11
06-07-2020,677556.375,699483.0625,676498.6875,699483.0625,699483.0625,1.33468E+12
07-07-2020,697519.875,698375.5625,688525.9375,693029.3125,693029.3125,1.03664E+12
08-07-2020,693084.9375,708260.5,692829.625,706560.625,706560.625,1.4765E+12
09-07-2020,706535.1875,706637.0625,693951.125,697124.25,697124.25,1.35253E+12
10-07-2020,696777.8125,698034.3125,686015.6875,697383.125,697383.125,1.26718E+12
11-07-2020,697285.75,698489.8125,691421.375,694832.4375,694832.4375,9.96334E+11
12-07-2020,694885.75,700778.375,691606.875,697210,697210,1.08622E+12
13-07-2020,697263,699493.1875,693621.25,695231.125,695231.125,1.3177E+12
14-07-2020,694861.8125,699261.375,691401,696265.9375,696265.9375,1.3623E+12
15-07-2020,696166.75,698685.6875,688936.375,690849.5625,690849.5625,1.19075E+12
16-07-2020,690785.125,692463.4375,684093.1875,686567.75,686567.75,1.18139E+12
17-07-2020,686536.5,688381.1875,683085.375,685416.75,685416.75,1.04441E+12
18-07-2020,685401.1875,691377.9375,681629.375,685989.5625,685989.5625,9.1769E+11
19-07-2020,685912.125,689162.125,681390.3125,687995.0625,687995.0625,9.69099E+11
20-07-2020,688100.1875,690701.75,683883.625,685029.5,685029.5,1.02824E+12
21-07-2020,684901.125,701946.875,683920.125,698836.9375,698836.9375,1.34697E+12
22-07-2020,698851.3125,711032.5,697086.8125,710687.8125,710687.8125,1.23347E+12
23-07-2020,710820.5625,719008,710468.4375,717179.625,717179.625,1.35833E+12
24-07-2020,717512.1875,719101,709836.6875,712641.4375,712641.4375,1.2369E+12
25-07-2020,712835.1875,725170.125,712142.25,723119.375,723119.375,1.24118E+12
26-07-2020,723352.625,749026,721306.125,740510.875,740510.875,1.53318E+12
27-07-2020,740514.6875,844274.75,740086.625,822141.9375,822141.9375,2.64499E+12
28-07-2020,824131,838111.1875,796006.5,817375.875,817375.875,2.15463E+12
29-07-2020,817385.625,845689.875,813217.8125,830489.3125,830489.3125,1.84176E+12
30-07-2020,830441.75,836322.375,815859.1875,830777.6875,830777.6875,1.70902E+12
31-07-2020,830702.6875,855488.1875,821144.875,848466.1875,848466.1875,1.73541E+12
01-08-2020,848399.0625,883781.3125,842188.3125,881145.125,881145.125,1.95385E+12
02-08-2020,881083.0625,901717.1875,825587.375,828115.3125,828115.3125,2.05351E+12
03-08-2020,827377.75,861675.75,825028.625,845338.0625,845338.0625,1.52373E+12
04-08-2020,845327.125,855775.9375,834275.4375,841131.125,841131.125,1.59507E+12
05-08-2020,840975.75,882705.0625,837241.1875,878648.375,878648.375,1.8259E+12
06-08-2020,878861.4375,892378.25,867960.875,882346.75,882346.75,1.7528E+12
07-08-2020,882280.875,892382.75,855681.0625,870409.25,870409.25,1.73552E+12
08-08-2020,870640.375,885308.8125,867180.0625,881853.25,881853.25,1.31835E+12
09-08-2020,880598.75,885755.375,865821.0625,875972.8125,875972.8125,1.31216E+12
10-08-2020,874961.3125,902903.8125,874961.3125,889387.3125,889387.3125,1.95532E+12
11-08-2020,889652.125,893479.0625,836220.375,851413.5,851413.5,2.01761E+12
12-08-2020,850971.125,877887.6875,841526.75,866195.5625,866195.5625,1.87405E+12
13-08-2020,866455.0625,882652.9375,839458.8125,881735.6875,881735.6875,2.05932E+12
14-08-2020,880876.875,909529.1875,874945.5625,880955.25,880955.25,1.81433E+12
15-08-2020,880942.3125,895502,880942.3125,888203.3125,888203.3125,1.74823E+12
16-08-2020,888277.1875,893383.4375,878583.75,890807.1875,890807.1875,1.54176E+12
17-08-2020,891020.9375,923830.75,883527.0625,915978.5625,915978.5625,2.10993E+12
18-08-2020,915791.25,922063.25,892194.375,894266,894266,1.94222E+12
19-08-2020,894240,897081.625,876323.25,881539.6875,881539.6875,1.83702E+12
20-08-2020,881780.8125,892342.1875,878565.0625,890749,890749,1.51292E+12
21-08-2020,890723.125,892505.75,866555.8125,868617.0625,868617.0625,1.7805E+12
22-08-2020,868091.75,875879.125,857851,875311,875311,1.51538E+12
23-08-2020,875151.4375,877679.125,866176.8125,873954.3125,873954.3125,1.38471E+12
24-08-2020,873867.5625,875105.5,870837.75,873601.4375,873601.4375,1.53444E+12
25-08-2020,873526.75,873591.0625,830927.5625,843803.6875,843803.6875,1.95258E+12
26-08-2020,843860.0625,856043.6875,838498.4375,853137.9375,853137.9375,1.6684E+12
27-08-2020,852933.3125,855094.4375,826108.625,835375.125,835375.125,1.71454E+12
28-08-2020,835515.1875,844313.5625,837245.6875,844085.6875,844085.6875,1.44847E+12
29-08-2020,843980,847240.5,838512.8125,841479.8125,841479.8125,1.2787E+12
30-08-2020,841615,856720.3125,840420.625,856445.4375,856445.4375,1.44503E+12
31-08-2020,856577.125,863236.4375,853660.75,857813.75,857813.75,1.63663E+12
01-09-2020,857703.3125,881649.3125,852007.75,874639.1875,874639.1875,1.99556E+12
02-09-2020,874225.9375,874225.9375,827301.8125,836109.375,836109.375,2.05382E+12
03-09-2020,835608.125,838189.375,747916.3125,752531.375,752531.375,2.3451E+12
04-09-2020,751434.625,780135.0625,748254.3125,769950.4375,769950.4375,2.19483E+12
05-09-2020,770002.875,775059.875,728556.1875,744882.125,744882.125,3.28997E+12
06-09-2020,744710,758517,736628.6875,753452.625,753452.625,2.71699E+12
07-09-2020,753499.9375,764267.625,728510.75,761595.1875,761595.1875,2.47533E+12
08-09-2020,761576.3125,768096.375,734651.8125,747574.6875,747574.6875,2.46677E+12
09-09-2020,747769.125,759233,738947.5625,751046.25,751046.25,1.76927E+12
10-09-2020,751045,770357.4375,750737.4375,762048.75,762048.75,4.00075E+12
11-09-2020,762481.8125,766641.25,745097.875,764222.8125,764222.8125,3.32122E+12
12-09-2020,764880.1875,777296,756248.5625,767254.125,767254.125,2.70027E+12
13-09-2020,768005.6875,777176.75,751248,758577.6875,758577.6875,2.68248E+12
14-09-2020,758943.4375,792928.1875,754339.6875,783969.75,783969.75,2.60228E+12
15-09-2020,783743.5,805171.375,784334.625,794767.375,794767.375,2.39303E+12
16-09-2020,794827.0625,815449,787992.4375,807217.4375,807217.4375,2.26317E+12
17-09-2020,807095.875,812299.5625,793557.125,805666.625,805666.625,2.80735E+12
18-09-2020,805874.875,810188.4375,796956.625,805632.625,805632.625,1.93903E+12
19-09-2020,804835.1875,819582.25,803058.625,816656.5,816656.5,1.67568E+12
20-09-2020,816768.625,816768.625,796055.25,804346.375,804346.375,1.81628E+12
21-09-2020,804100.375,806349.1875,764050.5,769813.625,769813.625,2.12536E+12
22-09-2020,769619.6875,776882.5625,764245.6875,774611.125,774611.125,1.73628E+12
23-09-2020,774684.3125,782580.75,750730.5,754483.6875,754483.6875,1.696E+12
24-09-2020,754602.875,795888.3125,753411.25,794391.5625,794391.5625,1.70163E+12
25-09-2020,794533.8125,792858.25,781079.5625,788753.4375,788753.4375,1.56483E+12
26-09-2020,788749.5625,794370,787264.125,792596.6875,792596.6875,1.33433E+12
27-09-2020,792486.3125,796303.375,784417.5625,794070.375,794070.375,1.32784E+12
28-09-2020,793865.125,807396.0625,790289,790859.25,790859.25,1.67597E+12
29-09-2020,790205.375,800548.1875,786830.4375,799846.3125,799846.3125,1.50843E+12
30-09-2020,799594.25,800413.8125,788336.5625,793269.0625,793269.0625,1.52656E+12
01-10-2020,793077.375,799047.4375,768765.125,778205.125,778205.125,1.99092E+12
02-10-2020,778282.8125,781770.75,766867,776131.75,776131.75,1.69579E+12
03-10-2020,776032.1875,778252.8125,771938.75,774689.4375,774689.4375,1.25338E+12
04-10-2020,774867.375,784609.8125,772185.4375,783410.6875,783410.6875,1.28658E+12
05-10-2020,783675,789945.875,780011.75,789945.875,789945.875,1.41737E+12
06-10-2020,789637.125,789906.0625,777761.1875,781949.875,781949.875,1.63911E+12
07-10-2020,781813,783910.625,778694.6875,783190.8125,783190.8125,1.29328E+12
08-10-2020,783079.9375,802138.375,774026,800505.3125,800505.3125,1.60943E+12
09-10-2020,800638.4375,811786.5,796234.875,808371.125,808371.125,1.64843E+12
10-10-2020,806888.3125,834837.4375,806727.625,824196.0625,824196.0625,1.6692E+12
11-10-2020,824175.6875,833859.9375,823631.8125,831216.6875,831216.6875,1.45801E+12
12-10-2020,831833.9375,858097.1875,824034.5,847598,847598,1.91915E+12
13-10-2020,847110.75,847133.625,831402.875,838872.9375,838872.9375,1.77977E+12
14-10-2020,839104.125,845284.3125,828964.625,837731.9375,837731.9375,1.76667E+12
15-10-2020,837519.0625,848900.8125,830131,843431.0625,843431.0625,1.79667E+12
16-10-2020,843979.75,846780.875,823297.9375,831547.75,831547.75,1.88279E+12
17-10-2020,831547.75,836258.375,828846.6875,834190.1875,834190.1875,1.40503E+12
18-10-2020,834034.5625,843384.5,833417.375,843384.5,843384.5,1.3428E+12
19-10-2020,844242.1875,865449.4375,837054.75,861833.8125,861833.8125,1.75132E+12
20-10-2020,862122.875,881448,856953.375,875624.8125,875624.8125,2.27173E+12
